# GENERATED by tools/export_world_interface_model.py from world_interface.bbmodel.
# name u v probe_x probe_y -- probe is a texel inside the island's painted north face.
# canvas 512x256 png 2048x1024 density 4
core_1.8x1.8x1.8 328 39 1322 166
core_1.8x2.2x0.2 120 50 484 205
core_2.4x2.8x0.2 242 45 973 186
core_5.6x5.6x0.6 277 23 1121 105
endstone_0.5x1.5x1 87 50 353 207
endstone_1.5x1.5x1 22 50 95 207
endstone_1.5x1.5x2 425 39 1711 167
endstone_1.5x1x1 317 50 1275 206
endstone_1.5x1x1.5 8 50 41 208
endstone_1.5x1x2 181 45 735 190
endstone_1.5x2.5x1.5 244 39 985 167
endstone_1.5x2x1.5 473 39 1901 166
endstone_1x0.5x1 66 54 270 221
endstone_1x1.5x0.5 376 50 1508 205
endstone_1x1.5x1 52 50 214 207
endstone_1x1.5x1.5 249 45 1004 189
endstone_1x1x1 346 50 1390 206
endstone_1x1x1.5 28 50 120 208
endstone_1x2.5x1 24 45 102 189
endstone_1x2x1 290 45 1166 188
endstone_2x1.5x1.5 189 45 766 189
endstone_2x1x1.5 503 45 2022 188
eye_1.2x1.6x0.2 424 50 1699 204
eye_1.4x0.4x0.2 284 54 1139 217
eye_1.8x0.4x0.4 263 54 1057 218
eye_1x1.4x0.2 456 50 1827 203
flesh_2.5x6x2.5 320 0 1295 22
flesh_2.5x7x2.5 268 0 1087 24
flesh_2x6x2 469 0 1888 20
flesh_3x7x3 191 0 782 26
glow_0.5x0.5x0.5 251 54 1007 219
glow_0.5x1x0.5 102 54 411 220
glow_0.5x2.5x0.5 340 45 1363 187
glow_1.5x1.5x1.5 221 45 893 189
glow_1x1.5x1 57 50 234 207
glow_2.5x1x0.5 47 54 195 220
glow_2x1x0.5 54 54 222 220
glow_3x3x0.5 433 39 1740 164
glow_4x4x0.5 360 32 1450 138
obsidian_0.5x1.5x0.5 404 50 1619 205
obsidian_0.5x2.5x1 49 45 201 189
obsidian_0.5x2x0.5 111 50 447 206
obsidian_0.5x2x1 320 45 1285 188
obsidian_1.5x1.5x5 149 23 619 115
obsidian_1.5x2.5x1 494 39 1983 165
obsidian_1.5x2.5x2 427 32 1719 141
obsidian_1.5x2x1 255 45 1027 188
obsidian_1.5x3x2 231 32 935 142
obsidian_10x11.5x10 0 0 60 63
obsidian_1x2.5x1 29 45 122 189
obsidian_1x2.5x1.5 265 39 1068 167
obsidian_1x2x0.5 91 50 368 206
obsidian_1x2x1 295 45 1186 188
obsidian_1x2x1.5 500 39 2008 166
obsidian_1x3x1.5 0 39 8 168
obsidian_2.5x0.5x0.5 231 54 931 219
obsidian_2.5x2x2 131 39 537 168
obsidian_2x2.5x1.5 180 39 730 167
obsidian_2x2x2.5 370 32 1494 142
obsidian_3.5x3x4.5 0 23 25 116
obsidian_3x0.5x0.5 223 54 900 219
obsidian_3x3x5 378 0 1538 26
obsidian_4x4x6 170 0 712 32
obsidian_5x1x0.5 0 54 12 220
obsidian_5x4x5.5 221 0 916 30
plating_0.5x0.5x0.5 254 54 1019 219
plating_0.5x1.5x0.5 407 50 1631 205
plating_0.5x1x0.5 105 54 423 220
plating_0.5x2x0.5 114 50 459 206
plating_1.5x0.5x0.5 238 54 957 219
plating_1.5x0.5x1 60 54 247 221
plating_1.5x0.5x1.5 296 50 1193 207
plating_1.5x1.5x0.5 351 50 1409 205
plating_1.5x16x1.5 41 0 173 38
plating_1.5x1x0.5 71 54 289 220
plating_1.5x2.5x1.5 251 39 1013 167
plating_1.5x2.5x2 435 32 1751 141
plating_1.5x2x0.5 62 50 253 206
plating_1.5x2x1.5 480 39 1929 166
plating_1.5x2x2 188 39 763 168
plating_1.5x3.5x1.5 271 32 1093 141
plating_1.5x3.5x2 96 32 395 143
plating_1.5x3x1.5 475 32 1909 140
plating_1.5x3x2 239 32 967 142
plating_10.5x1x1 189 50 781 206
plating_1x0.5x0.5 243 54 976 219
plating_1x0.5x1.5 323 50 1300 207
plating_1x1.5x0.5 380 50 1524 205
plating_1x1.5x1 67 50 274 207
plating_1x1x0.5 86 54 348 220
plating_1x2.5x1 34 45 142 189
plating_1x2.5x2 482 32 1938 141
plating_1x2x1 300 45 1206 188
plating_1x2x1.5 506 39 2032 166
plating_1x3.5x3 207 23 842 111
plating_1x3x1 289 39 1162 166
plating_1x4.5x3.5 459 0 1852 23
plating_1x5.5x1 216 23 870 107
plating_1x5.5x4.5 204 0 836 29
plating_1x7x1 478 0 1918 18
plating_1x9x1 216 0 870 22
plating_2.5x0.5x1 31 54 133 221
plating_2.5x2x2 141 39 577 168
plating_2.5x3.5x2.5 380 23 1535 109
plating_2.5x4.5x2.5 109 23 451 111
plating_2.5x4x2 391 23 1577 108
plating_2.5x4x2.5 175 23 715 110
plating_2.5x5.5x2.5 437 0 1763 21
plating_2x2.5x1.5 196 39 794 167
plating_2x2.5x2 400 32 1612 141
plating_2x2x0.5 34 50 142 206
plating_2x2x1.5 441 39 1774 166
plating_2x2x2 171 39 696 168
plating_2x2x2.5 380 32 1534 142
plating_2x3.5x1.5 247 32 998 141
plating_2x3.5x2 78 32 324 143
plating_2x3x1.5 443 32 1782 140
plating_2x3x2 213 32 864 142
plating_2x4x2.5 197 23 802 110
plating_3.5x0.5x1 12 54 59 221
plating_3.5x1.5x1 493 45 1983 187
plating_3x0.5x1 22 54 98 221
plating_3x5.5x3 307 0 1246 23
plating_3x5x3 411 0 1662 22
plating_4.5x0.5x0.5 212 54 859 219
plating_4.5x1.5x1 470 45 1893 187
plating_4.5x1x1 264 50 1069 206
plating_4x3.5x0.5 151 39 614 165
plating_5.5x1x3.5 328 32 1337 144
plating_5x4.5x0.5 179 32 728 139
plating_6.5x1x4.5 24 32 127 148
plating_6.5x3x5 331 0 1357 26
plating_6x0.5x0.5 198 54 806 219
plating_6x1.5x1 427 45 1724 187
plating_6x1.5x1.5 141 45 582 189
plating_6x1x5 316 23 1296 114
plating_6x2x1 157 45 644 188
plating_7.5x0.5x0.5 164 54 673 219
plating_7.5x2x2 61 39 267 168
plating_7x1x1 234 50 954 206
plating_7x1x4.5 0 32 32 148
plating_7x3x4.5 483 0 1964 24
plating_8.5x1x5.5 120 23 519 116
plating_8.5x4x6.5 87 0 391 34
plating_8x1x6 40 23 200 118
plating_8x2x1.5 376 39 1526 166
plating_9.5x1x0.5 482 50 1949 204
plating_9.5x4x6 138 0 595 32
plating_9x1x1 213 50 874 206
root_0.5x1.5x1 95 50 385 207
root_0.5x1x0.5 108 54 435 220
root_0.5x3.5x1 6 39 29 167
root_1.5x1.5x0.5 356 50 1429 205
root_1.5x1x0.5 76 54 309 220
root_1.5x2.5x1 0 45 7 189
root_1.5x2.5x2 451 32 1815 141
root_1.5x2x1 261 45 1051 188
root_1.5x2x2 204 39 827 168
root_1.5x3x1 271 39 1091 166
root_1.5x3x1.5 489 32 1965 140
root_1.5x3x2 255 32 1031 142
root_1.5x5x4.5 243 0 993 28
root_1x1.5x0.5 384 50 1540 205
root_1x1.5x1 72 50 294 207
root_1x1x0.5 90 54 364 220
root_1x2.5x0.5 324 45 1300 187
root_1x2.5x1 39 45 162 189
root_1x2.5x1.5 277 39 1116 167
root_1x2.5x2 496 32 1994 141
root_1x2.5x2.5 263 32 1064 143
root_1x2x0.5 99 50 400 206
root_1x2x1 305 45 1226 188
root_1x2x1.5 6 45 32 190
root_1x3x3 411 23 1658 110
root_1x4.5x1 111 32 450 141
root_1x4x3.5 30 23 136 114
root_1x5x4.5 256 0 1044 28
root_2.5x2x2 161 39 657 168
root_2.5x3.5x2 58 32 245 143
root_2.5x3x2 203 32 825 142
root_2.5x3x2.5 47 32 203 144
root_2.5x4x2.5 186 23 759 110
root_2.5x4x3 97 23 405 112
root_2.5x5.5x2.5 448 0 1807 21
root_2x2.5x1.5 212 39 858 167
root_2x2.5x2 409 32 1648 141
root_2x2x1.5 449 39 1806 166
root_2x2x2.5 390 32 1574 142
root_2x3.5x2.5 401 23 1618 109
root_2x3x1.5 459 32 1846 140
root_2x3x2.5 68 32 286 144
root_3.5x1x1.5 482 45 1941 188
root_3.5x5.5x3 293 0 1191 23
root_3x3.5x4.5 395 0 1604 25
root_3x4.5x3 17 23 86 113
root_3x4x2.5 163 23 668 110
root_3x5.5x3.5 279 0 1136 25
root_3x5x3 424 0 1714 22
root_4.5x1x1.5 457 45 1843 188
root_4x1x1 276 50 1116 206
root_4x3x0.5 415 39 1670 164
root_4x3x1 120 39 492 166
root_4x5x5.5 118 0 502 32
root_5.5x0.5x3.5 101 39 429 171
root_5.5x4x0.5 347 32 1401 138
root_5x1x1 251 50 1018 206
root_5x4x1 166 32 678 140
root_6x0.5x3.5 81 39 350 171
root_6x1x1.5 411 45 1662 188
root_7.5x0.5x0.5 181 54 741 219
root_7.5x1x4.5 466 23 1897 112
root_7x1x5 291 23 1198 114
root_9.5x0.5x0.5 143 54 593 219
root_9.5x0.5x1 460 50 1863 205
socket_0.6x3x0.2 138 45 554 187
socket_1.2x1x0.4 116 54 468 220
socket_1.6x1.2x0.4 436 50 1749 204
socket_2.2x2x0.4 137 50 554 206
socket_3x2.6x0.6 106 45 432 187
socket_4.6x4.2x0.8 191 32 776 139
socket_6x5.4x1 242 23 984 107
swallowed_0.5x0.5x1 94 54 381 221
swallowed_0.5x1.5x1 103 50 417 207
swallowed_0.5x1x1 388 50 1557 206
swallowed_0.5x2.5x1 53 45 217 189
swallowed_0.5x2x0.5 117 50 471 206
swallowed_0.5x2x1 328 45 1317 188
swallowed_1.5x0.5x1.5 303 50 1221 207
swallowed_1.5x1.5x0.5 361 50 1449 205
swallowed_1.5x1.5x1 40 50 167 207
swallowed_1.5x1.5x1.5 228 45 921 189
swallowed_1.5x1.5x2 457 39 1839 167
swallowed_1.5x1x1 329 50 1323 206
swallowed_1.5x1x1.5 15 50 69 208
swallowed_1.5x1x2 197 45 799 190
swallowed_1.5x2.5x1 12 45 55 189
swallowed_1.5x2.5x1.5 258 39 1041 167
swallowed_1.5x2.5x2 467 32 1879 141
swallowed_1.5x2x0.5 77 50 313 206
swallowed_1.5x2x1 267 45 1075 188
swallowed_1.5x2x1.5 487 39 1957 166
swallowed_1.5x2x2 220 39 891 168
swallowed_1.5x3x1.5 503 32 2021 140
swallowed_1.5x4x1.5 104 32 425 142
swallowed_1x0.5x0.5 247 54 992 219
swallowed_1x0.5x1 81 54 330 221
swallowed_1x1.5x0.5 392 50 1572 205
swallowed_1x1.5x1 82 50 334 207
swallowed_1x1.5x1.5 273 45 1100 189
swallowed_1x1x0.5 98 54 396 220
swallowed_1x1x1 366 50 1470 206
swallowed_1x1x1.5 46 50 192 208
swallowed_1x2.5x0.5 332 45 1332 187
swallowed_1x2.5x1 44 45 182 189
swallowed_1x2.5x1.5 283 39 1140 167
swallowed_1x2x0.5 107 50 432 206
swallowed_1x2x1 310 45 1246 188
swallowed_1x2x1.5 18 45 80 190
swallowed_2.5x0.5x1 39 54 165 221
swallowed_2x1.5x1.5 205 45 830 189
swallowed_2x1x1.5 0 50 10 208
swallowed_2x1x2 172 45 700 190
swallowed_2x2.5x1.5 228 39 922 167
swallowed_2x2.5x2 418 32 1684 141
swallowed_2x2x1.5 465 39 1870 166
swallowed_2x3.5x2 87 32 360 143
swallowed_2x3x2 222 32 900 142
swallowed_2x4x2 420 23 1692 108
swallowed_3x1x1 287 50 1158 206
swallowed_6.5x3.5x4.5 355 0 1451 25
swallowed_6x1.5x1 442 45 1784 187
swallowed_6x1.5x4.5 339 23 1386 113
swallowed_7.5x2x1.5 396 39 1605 166
swallowed_8.5x5x6 57 0 269 34
swallowed_8x1.5x5.5 69 23 314 117
